
"Report 1"

"CTL_CLAIM_NO","CTL_CLAIM_DATE","CTL_MACHINE_MODEL","CTL_MACHINE_TYPE","CTL_MACHINE_SUBTYPE","CTL_MACHINE_SERIAL","CTL_DELIVERY_DATE","CTL_FAILURE_DATE","CTL_CORRECTED_DATE","CTL_CAUSE_OF_FAILURE","CTL_ETSI","CTL_FC_NO","CLAIM_CATEGORY","BASE_APP_PARTS_AMOUNT","BASE_APP_LABOR_AMOUNT","BASE_APP_MILEAGE_AMOUNT","BASE_APP_OTHER_AMOUNT","BASE_APP_TOTAL_AMOUNT","PARTS_NBR","PARTS_NAME","PARTS_QTY","PARTS_UNIT_PRICE"
"20378  ","20210106","D65EX      ","16","  ","         82718","20180712","20201110","20201221","A1PDAH","AMSMX202011054 ","         ","X","146.76","21.28","28.8","0","196.84","6745-11-5590        ","GASKET         ","12","24.46"
"20379  ","20210106","PC200      "," 8","N1","        313937","20201002","20201022","20201219","A7N6MA","AMSMX202011022 ","         ","E","2,394.66","31.92","0","0","2,426.58","6754-71-1012        ","INJECTION PUMP ","2","2,394.66"
"20381  ","20210107","PC450      "," 8","R ","         76614","20200214","20201027","20210104","A1T4AJ","AMSMX202010097 ","         ","W","13.06","10.64","23.04","0","46.74","6151-11-5280        ","RING           ","2","13.06"
"20383  ","20210107","HD785      "," 7","  ","         32993","20200328","20201217","20201217","5A3AMP","AMSMX202011062 ","         ","W","514.14","58.52","0","0","572.66","561-50-82380        ","DUST SEAL      ","2","514.14"
"20384  ","20210107","HD785      "," 7","  ","         33075","20200116","20201217","20201217","5720FF","AMSMX202011052 ","         ","W","695.34","58.52","0","0","753.86","GJ1140015           ","CONTROLLER     ","2","632.62"
"20384  ","20210107","HD785      "," 7","  ","         33075","20200116","20201217","20201217","5720FF","AMSMX202011052 ","         ","W","695.34","58.52","0","0","753.86","GJ1150897           ","ADJUSTER       ","2","62.72"
"20386  ","20210112","HD785      "," 7","  ","         33063","20191210","20200823","20201217","5725MA","AMSMX202008046 ","         ","W","380.36","15.96","0","411.34","807.66","GJ1140031           ","ABSORBER       ","1","512.66"
"20386  ","20210112","HD785      "," 7","  ","         33063","20191210","20200823","20201217","5725MA","AMSMX202008046 ","         ","W","380.36","15.96","0","411.34","807.66","GJ1150897           ","ADJUSTER       ","1","62.72"
"20386  ","20210112","HD785      "," 7","  ","         33063","20191210","20200823","20201217","5725MA","AMSMX202008046 ","         ","W","575.38","15.96","0","411.34","1,002.68","GJ1140031           ","ABSORBER       ","1","512.66"
"20386  ","20210112","HD785      "," 7","  ","         33063","20191210","20200823","20201217","5725MA","AMSMX202008046 ","         ","W","575.38","15.96","0","411.34","1,002.68","GJ1150897           ","ADJUSTER       ","1","62.72"
"20387  ","20210111","HD785      "," 7","  ","         33063","20191210","20201128","20201217","5722FF","AMSMX202011063 ","         ","W","283.75","15.96","0","0","299.71","GJ1268523           ","SERVICE KIT    ","2","283.75"
"20388  ","20210112","PC60       "," 8","  ","         10226","20200522","20200910","20201202","J180MA","AMSMX202010090 ","         ","P","1,825.84","26.6","75.96","0","1,928.4","07000-11008         ","O-RING         ","1","0.88"
"20388  ","20210112","PC60       "," 8","  ","         10226","20200522","20200910","20201202","J180MA","AMSMX202010090 ","         ","P","1,825.84","26.6","75.96","0","1,928.4","07000-12050         ","O-RING         ","1","2.5"
"20388  ","20210112","PC60       "," 8","  ","         10226","20200522","20200910","20201202","J180MA","AMSMX202010090 ","         ","P","1,825.84","26.6","75.96","0","1,928.4","708-3T-04620        ","PUMP ASS'Y     ","1","1,822.46"
